vsn,color,sizes,wm_upc,price,Inventory
77929,WHTC,2XL,71660546920,12.2,2
77929,WHTC,3XL,71660546921,12.2,4
77929,WHTC,L,71660546922,12.2,12
77929,WHTC,M,71660546923,12.2,12
77929,WHTC,S,71660546924,12.2,8
77929,WHTC,XL,71660546925,12.2,10
77929,WHTC,XS,71660546919,12.2,3
77956,WHTD,2XL,71660558145,13,58
77956,WHTD,3XL,71660566177,13,10
77956,WHTD,L,71660566193,13,106
77956,WHTD,M,71660583981,13,106
77956,WHTD,S,71660583982,13,34
77956,WHTD,XL,71660583983,13,45
77956,WHTD,XS,71660583984,13,34
WD003,BLK,M,19466124421,10.7,101
WD003,BLK,S,19466124422,10.7,45
WD003,BLK,XS,19466124424,10.7,70
WD066A,BLK,2XL,19466137242,18.85,111
WD066A,BLK,3XL,19466137243,18.85,105
WD066A,BLK,L,19466137244,18.85,65
WD066A,BLK,M,19466137245,18.85,88
WD066A,BLK,S,19466137246,18.85,64
WD066A,BLK,XL,19466137247,18.85,92
WD066A,BLK,XS,19466137248,18.85,48
WD066A,EBW,2XL,19466137249,13,0
WD066A,EBW,3XL,19466137250,13,0
WD066A,EBW,L,19466137251,18.85,60
WD066A,EBW,M,19466137252,13,0
WD066A,EBW,S,19466137253,18.85,31
WD066A,EBW,XL,19466137254,13,0
WD066A,EBW,XS,19466137255,18.85,37
WD066A,HTPT,2XL,19466137256,13,54
WD066A,HTPT,3XL,19466137257,13,0
WD066A,HTPT,L,19466137258,13,65
WD066A,HTPT,M,19466137259,13,49
WD066A,HTPT,S,19466137260,18.85,10
WD066A,HTPT,XL,19466137261,13,54
WD066A,HTPT,XS,19466137262,18.85,42
WD066A,IND,2XL,19466137265,13,27
WD066A,IND,3XL,19466137266,13,8
WD066A,IND,L,19466137267,18.85,0
WD066A,IND,M,19466137268,18.85,97
WD066A,IND,S,19466137269,18.85,47
WD066A,IND,XL,19466137270,13,11
WD066A,IND,XS,19466137271,18.85,50
WD067A,BLK,2XL,19466155256,12.6,0
WD067A,BLK,3XL,19466155257,12.6,9
WD067A,BLK,L,19466155258,12.6,3
WD067A,BLK,M,19466155259,12.6,12
WD067A,BLK,S,19466155260,12.6,39
WD067A,BLK,XL,19466155261,12.6,0
WD067A,BLK,XS,19466155262,12.6,33
WD067A,DESL,2XL,19466155263,12.6,5
WD067A,DESL,3XL,19466155264,12.6,0
WD067A,DESL,L,19466155265,12.6,16
WD067A,DESL,M,19466155266,12.6,12
WD067A,DESL,S,19466155267,12.6,6
WD067A,DESL,XL,19466155268,12.6,4
WD067A,DESL,XS,19466155269,12.6,3
WD067A,EBW,2XL,19466155270,12.6,3
WD067A,EBW,3XL,19466155271,12.6,0
WD067A,EBW,L,19466155272,12.6,0
WD067A,EBW,M,19466155273,12.6,6
WD067A,EBW,S,19466155274,12.6,9
WD067A,EBW,XL,19466155275,12.6,1
WD067A,EBW,XS,19466155276,12.6,2
WD067A,EGG,2XL,19466155277,12.6,8
WD067A,EGG,3XL,19466155278,12.6,0
WD067A,EGG,L,19466155279,12.6,9
WD067A,EGG,M,19466155280,12.6,16
WD067A,EGG,S,19466155281,12.6,6
WD067A,EGG,XL,19466155282,12.6,9
WD067A,EGG,XS,19466155283,12.6,4
WD067A,IND,3XL,19466156570,12.6,0
WD067A,IND,M,19466156572,12.6,0
WD067A,IND,S,19466156573,12.6,5
WD067A,IND,XL,19466156574,12.6,0
WD067A,IND,XS,19466156575,12.6,0
WD067A,PWT,2XL,19466155284,12.6,38
WD067A,PWT,3XL,19466155285,12.6,20
WD067A,PWT,L,19466155286,12.6,56
WD067A,PWT,M,19466155287,12.6,54
WD067A,PWT,S,19466155288,12.6,48
WD067A,PWT,XL,19466155289,12.6,50
WD067A,PWT,XS,19466155290,12.6,36
WD067A,WIN,2XL,19466155291,12.6,4
WD067A,WIN,3XL,19466155292,12.6,0
WD067A,WIN,L,19466155293,12.6,0
WD067A,WIN,M,19466155294,12.6,13
WD067A,WIN,S,19466155295,12.6,7
WD067A,WIN,XL,19466155296,12.6,7
WD067A,WIN,XS,19466155297,12.6,4
WD071A,BLK,2XL,19466155158,12.05,11
WD071A,BLK,3XL,19466155159,12.05,0
WD071A,BLK,L,19466155160,12.05,0
WD071A,BLK,M,19466155161,12.05,15
WD071A,BLK,S,19466155162,12.05,0
WD071A,BLK,XL,19466155163,12.05,22
WD071A,BLK,XS,19466155164,12.05,4
WD071A,DESL,2XL,19466155165,12.05,39
WD071A,DESL,3XL,19466155166,12.05,29
WD071A,DESL,L,19466155167,12.05,32
WD071A,DESL,M,19466155168,12.05,56
WD071A,DESL,S,19466155169,12.05,31
WD071A,DESL,XL,19466155170,12.05,21
WD071A,DESL,XS,19466155171,12.05,28
WD071A,EBW,2XL,19466155172,12.05,50
WD071A,EBW,3XL,19466155173,12.05,20
WD071A,EBW,L,19466155174,12.05,64
WD071A,EBW,M,19466155175,12.05,39
WD071A,EBW,S,19466155176,12.05,48
WD071A,EBW,XL,19466155177,12.05,27
WD071A,EBW,XS,19466155178,12.05,53
WD071A,EGG,2XL,19466155179,12.05,28
WD071A,EGG,3XL,19466155180,12.05,38
WD071A,EGG,L,19466155181,12.05,47
WD071A,EGG,M,19466155182,12.05,64
WD071A,EGG,S,19466155183,12.05,44
WD071A,EGG,XL,19466155184,12.05,32
WD071A,EGG,XS,19466155185,12.05,55
WD071A,IND,2XL,19466155186,12.05,31
WD071A,IND,3XL,19466155187,12.05,21
WD071A,IND,L,19466155188,12.05,55
WD071A,IND,M,19466155189,12.05,79
WD071A,IND,S,19466155190,12.05,44
WD071A,IND,XL,19466155191,12.05,42
WD071A,IND,XS,19466155192,12.05,59
WD071A,PWT,2XL,19466155193,12.05,23
WD071A,PWT,3XL,19466155194,12.05,30
WD071A,PWT,L,19466155195,12.05,41
WD071A,PWT,M,19466155196,12.05,44
WD071A,PWT,S,19466155197,12.05,33
